Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.817E+03,2.581E-02,5.025E-03,1.221E-02,1.142E-02,2.865E-02
2.817E+03,3.449E-02,5.671E-03,1.337E-02,1.461E-02,3.365E-02
2.817E+03,4.594E-02,6.462E-03,1.464E-02,1.879E-02,3.990E-02
2.817E+03,3.956E-02,7.428E-03,1.602E-02,2.415E-02,4.759E-02
2.817E+03,4.506E-02,8.523E-03,1.741E-02,3.032E-02,5.625E-02
2.817E+03,5.510E-02,9.944E-03,1.902E-02,3.824E-02,6.720E-02
2.818E+03,5.802E-02,1.167E-02,2.076E-02,4.749E-02,7.992E-02
2.818E+03,7.717E-02,1.377E-02,2.263E-02,5.787E-02,9.427E-02
2.818E+03,9.452E-02,1.631E-02,2.466E-02,6.904E-02,1.100E-01
2.818E+03,1.066E-01,1.936E-02,2.685E-02,8.046E-02,1.267E-01
2.818E+03,1.243E-01,2.302E-02,2.921E-02,9.143E-02,1.437E-01
2.818E+03,1.599E-01,2.738E-02,3.175E-02,1.010E-01,1.602E-01
2.818E+03,1.814E-01,3.295E-02,3.466E-02,1.087E-01,1.763E-01
2.819E+03,1.932E-01,3.916E-02,3.760E-02,1.124E-01,1.892E-01
2.819E+03,2.149E-01,4.645E-02,4.075E-02,1.123E-01,1.995E-01
2.819E+03,2.215E-01,5.500E-02,4.413E-02,1.083E-01,2.074E-01
2.819E+03,2.206E-01,6.494E-02,4.774E-02,1.010E-01,2.137E-01
2.819E+03,2.206E-01,7.645E-02,5.160E-02,9.143E-02,2.195E-01
2.819E+03,2.276E-01,8.970E-02,5.571E-02,8.046E-02,2.259E-01
2.820E+03,2.451E-01,1.049E-01,6.009E-02,6.904E-02,2.340E-01
2.820E+03,2.455E-01,1.209E-01,6.443E-02,5.859E-02,2.440E-01
